,弹幕内容
0,深夜嵩鼠报道
1,听第一遍觉得没什么，越听越有感觉！
2,听了7 8遍！我我听哭了，真的奇怪！
3,网易云到现在都还没出
4,歌词还是那么漂亮
5,云村废了
6,听了一晚上歌
7,好好听
8,云村还没有
9,听一遍就爱上系列
10,昨晚看到了推特
11,网易云还没有
12,为什么我哭了，谁能告诉我？
13,网易越来越垃圾了
14,ohhhhhhhh
15,因为有洋葱，饭里面有洋葱
16,好耳熟的调调
17,吹爆
18,嵩哥v5
19,我从词中看到了故事
20,为什么网易云还没有
21,犹如仙境
22,太好听了吧啊啊啊啊啊啊啊啊
23,飘然一曲诱我侧耳听
24,又是一首经典
25,第几次跟天龙八部合作了
26,前方许氏酿酒厂让人醉熏熏
27,我嵩还是那么强
28,单曲循环中，久违的中国风，太好听了
29,有感觉了
30,不错不错
31,前面听哭的别跑，我听到这心里好酸啊。。。
32,越听越有感觉，闭眼仿佛置身其中
33,啊 巧了 都是穷人 咪咕音乐 穷人的象征
34,像内线的曲
35,飘散一曲诱我侧耳听！！吹爆
36,我听的好感动啊啊啊
37,我都想下个游戏完玩了
38,QQ音乐首发，另外酷狗酷我咪咕都能听，喜欢快去听啊
39,词漂亮！
40,窗外潇潇的雨幕里 飘然一曲诱我侧耳听
41,nb
42,再来亿遍
43,中午休息片刻，最佳音乐
44,内线+1
45,开头见
46,好听
47,这里“里”如果不降调更加上口，但嵩降调肯定有理由
48,来了
49,一直重播停不下来了
50,好听唉
51,这个“诱”字用的太好了
52,第三首了吧 天龙八部的?
53,我真的吃这一首的词曲 
54,不错，好听
55,"只要你喜欢许嵩,我们就是家人"
56,"走走走,新歌打榜啊 啊啊啊啊啊"
57,"弹幕走起来,老许一定要火呀"
58,云村太磨叽了
59,这段开始带感
60,好听啊！！
61,副歌这块太好听了
62,"开口见,"
63,我又来了了
64,再来一遍
65,来了来了老弟
66,开头见
67,"再来一遍,弹幕打榜中.."
68,弹幕打榜...
69,嵩嵩嵩
70,曲也漂亮
71,"冲鸭,嵩哥加油"
72,所以经常昵称都从许嵩歌里找
73,天龙八部三部曲:半城烟沙，宿敌，雨幕
74,也有很悲伤的感觉
75,太好听了！！
76,好听
77,！！！
78,这让我想起了玄武岛的松鼠宝宝
79,这么多年了声音还没变
80,开始注入灵魂
81,上一个还是宿敌
82,打完架，血染水泊
83,弹幕打榜..
84,我知道我学不会的ಥ_ಥ
85,好听好听
86,男主被女主箫中剑所伤，这“里”的降调正是呼应了
87,QQ音乐首发！
88,第三次
89,主流是什么？主流是你喜欢听的情歌还rap？
90,怎么看是瓜皮啊
91,第一条弹幕给嵩哥
92,来啦
93,最后一句歌词听不懂，得多听几遍
94,好听
95,这个里如果 用平常的唱法，这首歌反而就LOW了
96,下意识点了下载
97,没人么
98,对
99,太好听了
100,第七遍
101,琵琶行
102,峰:雕，队安好，勿念
103,有离调
104,好听
105,en
106,啊啊啊啊啊啊啊啊
107,我来啦
108,啊啊啊啊啊啊啊啊
109,我我是第一
110,许嵩位我大天龙写的第三首主题曲
111,这也太好听了吧
112,来了嵩嵩嵩
113,啧啧啧
114,听的好难受呀，还是那个感觉
115,棒棒棒，忍不住出来吹一下
116,好听！！！
117,迷糊打钱迷糊打钱 迷糊打钱
118,为什么歌曲是四分钟而B站进度条才3，58
119,听到没抄粥，这才是原创
120,最近刚好要上战场了，谢谢嵩哥
121,给嵩哥增加弹幕！
122,我都不知道…………
123,好好听
124,天龙策划是许嵩铁粉实锤了
125,女侠
126,这首歌真的完美
127,排面
128,漉水千山这句背景音里似乎有人说话的声音
129,爱死许嵩
130,雅俗共赏！！！
131,雅俗共赏！雅俗共赏！嵩嵩嵩嵩嵩
132,我又来了
133,最后一句，注意听
134,终于回到以前的感觉了
135,我也听哭
136,说非主流的那个你给我站住
137,嵩嵩嵩
138,还是那个感觉
139,优秀
140,血泊 呼吸停
141,老许很火的
142,你们都听得出降调，许嵩听不出来吗？需要怀疑？
143,新天龙八部？翻拍了？
144,很快很快
145,这歌 任贤齐唱 应该也不错
146,花抄快离开网易HD
147,一座残碑镇住想念
148,而今古苔已横啮
149,冬深春浅时节
150,水面箫中剑的倒影，是爱中藏恨的诗句
151,冬深春浅时节
152,水面箫中剑的倒影，是爱中藏恨的诗句
153,2009年半城烟沙至今正好十年
154,我的小V，越来越好了
155,好耐听
156,听说是没钱才用咪咕，我已经用两年了
157,无敌
158,我爱的瓜皮和嵩哥竟然挺像
159,单曲循环停不下来
160,啊啊啊……第一次听许嵩的歌我还是小学的时候，现在已经大学了
161,这里的断句是故意的
162,什么时候剑三才能请到我嵩哥啊！
163,好听
164,开什么玩笑 qq音乐首发  而且不收费
165,十年许嵩  爱你依旧
166,最后一句说明主人公已经被故人杀了！
167,哭了
168,好听，就是不好唱
169,还是熟悉的味道还是熟悉的味道
170,必须拥有姓名
171,云村又没拿到版权
172,还记得之前的天龙八部之宿敌
173,游戏
174,天下第一帅，嵩哥哥
175,帅爆我许嵩
176,好听
177,我又回来啦
