,content,score,source
15,惟沉默是最高的轻蔑。,15,NO.53308  
1,愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。,13,NO.86500  《热风》
3,倘若说，作品愈高，知音愈少，那么，推论起来，谁也不懂的东西，就是世界上的绝作了。,6,NO.53325  
62,从来如此，便对吗。,5,NO.53243  
9,哪里有天才，我是把别人喝咖啡的工夫都用在了工作上了。,4,NO.53319  
16,其实世上本没有路，走的人多了，也便成了路。,4,NO.53307  
29,中国者，中国人之中国，可容外族之研究，不容外族之探险；可容外族赞叹，不容外族之凯觎者也。,4,NO.53276  
45,时间，天天得到的都是二十四小时，可是一天的时间给勤勉的人带来聪明和气力，给懒散的人只留下一片悔恨。,4,NO.53260  
63,怀疑并不是缺点，总是疑，而并不下断语，这才是缺点。,4,NO.53242  
8,人生的旅途，前途很远，也很暗。然而不要怕，不怕的人的面前才有路。,3,NO.53320  
12,中国惟有国魂是最可宝贵的，惟有他发扬起来，中国人才真有进步。,3,NO.53315  
26,人生最苦痛的是梦醒了无路可走。,3,NO.53280  
30,倘只看书，便变成书橱。,3,NO.53275  
31,人生得一知己足矣，斯世当以同怀视之。,3,NO.53274  
32,以无赖的手段对付无赖，以流氓的手段对付流氓。,3,NO.53273  
36,无穷的远方，无数的人们，都和我有关。,3,NO.53269  
40,保持友谊的最好办法就是任何事情也不假手于他，同时也不借钱给他。,3,NO.53265  
51,浪费时间等于是慢性自杀。,3,NO.53254  
57,震骇一时的牺牲，不如深沉的韧性的战斗。,3,NO.53248  
97,真的猛士，敢于直面惨淡的人生，敢于正视淋漓的鲜血。,3,NO.53208  
122,远看是条狗，近看是条东洋狗，到了眼前，哦，原来是沫若先生。,3,NO.53180  
150,人最痛苦的，是梦醒了无路可走。,3,NO.53133  
154,书看多了，文章自然就会写了。,3,NO.53129  
167,一个人如果不活在别人心里，那他就真的死了。,3,NO.53116  
200,灵台无计逃神矢，风雨如磐暗故园，寄意寒星荃不察，我以我血荐轩辕。,3,NO.53067  
215,生活如花，姹紫嫣红；,3,NO.53049  
0,我家门前有两棵树，一棵是枣树，另一棵也是枣树。,2,NO.92731  《秋叶》
2,我以为就是圣贤豪杰，也不必自惭他的童年，自惭，倒是一个错误。,2,NO.53326  
4,诚信为人之本。,2,NO.53324  
5,使一个人的有限的生命，更加有效，也即等于延长了人的生命。,2,NO.53323  
7,经历一多，便能从前因而知后果，我的预测时时有验，只不过由此一端。,2,NO.53321  
10,与其找糊涂导师，倒不如自己走。,2,NO.53318  
11,不孝的人是世界最可恶的人。,2,NO.53316  
13,死亡的生命已经朽腐，我对于这朽腐有大欢喜，因为我借此知道它还非空虚。,2,NO.53313  
14,过去的生命已经死亡，我对于这死亡有大欢喜，因为我借此知道它曾经存活。,2,NO.53311  
20,贪安稳就没有自由，要自由就要历些危险，只有这两条路。,2,NO.53295  
25,学习必须如蜜蜂一样，采过许多花，这才能酿出蜜来。,2,NO.53282  
33,青年应当有朝气，敢作为。,2,NO.53272  
35,时间就象海绵里的水，要挤总是有的。,2,NO.53270  
37,时间就是生命，无故的空耗别人的时间，实在无异于谋财害命的。,2,NO.53268  
43,我觉得坦途在前，人又何必因了一点小障碍而不走路呢。,2,NO.53262  
46,不在沉默中爆发，就在沉默中死亡。,2,NO.53259  
48,做一件事，无论大小，倘无恒心，是很不好的。,2,NO.53257  
49,时间就是性命，无端的空耗别人的时间，其实是无异于谋财害命。,2,NO.53256  
61,有一分热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火，此后如竟没有炬火，我便是唯一的光。,2,NO.53244  
73,生活太安逸了，工作就会被生活所累。,2,NO.53232  
83,有缺点的战士终究是战士，宝贵的苍蝇也终究不过是苍蝇。,2,NO.53222  
84,悲剧就是把美好的东西毁灭给人看。,2,NO.53221  
86,帮助不等于爱情，但是爱情不能不包括帮助。,2,NO.53219  
87,从来如此，那便对么。,2,NO.53218  
99,失掉了现在就等于没有了未来。,2,NO.53206  
106,我好像一头牛，吃的是草，挤出的是牛奶、血。,2,NO.53199  
108,一滴水，用显微镜看，也是一个大世界。,2,NO.53197  
110,我以我血荐轩辕。,2,NO.53195  
114,孩子是要别人教的，毛病是要别人医的。,2,NO.53191  
134,横眉冷对千夫指，俯首干为孺子牛。,2,NO.53154  
140,墨写的谎言，决掩不住血写的事实。,2,NO.53143  
152,无论她有多大错，她哭的一霎那，都是我的错。,2,NO.53131  
156,有缺点的战士终竟是战士，完美的苍蝇也终竟不过是苍蝇。,2,NO.53127  
157,青年应当天真烂漫。,2,NO.53126  
161,当我沉默的时候，我感到充实；我将开口，然而又感到空虚。,2,NO.53122  
164,在无边的旷野上，在凛冽的天宇下，闪闪地旋转升腾着的是雨的精魂。,2,NO.53119  
165,梦是好的，否则，钱是要紧的。,2,NO.53118  
166,红肿之处，艳若桃李；溃烂之时，美如醴酪。,2,NO.53117  
189,专读书也有弊病，所以必须和现实社会接触，使所读的书活起来。,2,NO.53089  
193,油滑是创作的大敌。,2,NO.53080  
202,唾沫还是静静的咽下去好，免得后来自己舐回去。,2,NO.53063  
209,死者倘不埋在活人的心中，那就真的死掉了.,2,NO.53055  
210,悲剧就是将美丽的东西撕毁给人看。,2,NO.53054  
214,失掉了现在，也就没有了未来。,2,NO.53050  
220,有存在，便有希望，有希望，便有光明。,2,NO.53044  
224,无怨的恕，说谎罢了。,2,NO.53040  
6,要在文化上有成绩，则非韧不可。,1,NO.53322  
17,人生得一知己足矣。,1,NO.53303  
18,感谢命运，感谢人民，感谢思想，感谢一切我要感谢的人。,1,NO.53301  
19,金子做了骨髓，也还是站不直。,1,NO.53298  
21,母亲是伟大的。,1,NO.53291  
22,我自爱我的野草，但我憎恶这以野草作装饰的地面。,1,NO.53289  
23,倘能生存，我当然仍要学习。,1,NO.53286  
24,所谓天才，只不过是把别人喝咖啡的功夫都用在工作上了。,1,NO.53284  
27,“我们先前比你阔多啦，你算是什么东西！。,1,NO.53278  
28,杀了现在，也便杀了将来，------将来是子孙的时代。,1,NO.53277  
34,杀了现在，也便杀了将来。,1,NO.53271  
38,他的性格，在我的眼里和心里是伟大的，虽然他的姓名并不为许多人知道。,1,NO.53267  
39,但我坦然，欣然，我将大笑，我将歌唱。,1,NO.53266  
41,不惮以最坏的恶意来推测中国人。,1,NO.53264  
42,帮自己的忙，帮到后来，只忙了自己，这是常常要遇到的。,1,NO.53263  
44,凡是不爱已的人，实在欠缺做父亲的资格。,1,NO.53261  
47,长者须是指导者协商者，却不该是命令者。,1,NO.53258  
50,自卑和自负都不是很好，最好的办法的成不骄败不馁。,1,NO.53255  
52,愈艰难，就愈要做，改革，是向来没有一帆风顺的。,1,NO.53253  
53,我们目下的当务之急是：一要生存，二要温饱，三要发展。,1,NO.53252  
54,你的心意我无从知晓，但我势必选择孤独上路。,1,NO.53251  
55,一个诚挚、热心，为着光明而斗争的人，不能够不是刻苦而负责的。,1,NO.53250  
56,我很早就希望中国的站出来，对于中国的社会、文明，都毫无忌惮地加以批评。,1,NO.53249  
58,惟独革命家，无论他生或死，都能给大家以幸福。,1,NO.53247  
59,我又愿中国青年只是向上走，不必理会这冷笑和暗箭。,1,NO.53246  
60,和朋友谈心，不必留心，但和敌人对面，却必须刻刻防备。,1,NO.53245  
64,敌人是不足惧的，最可怕的是自己营垒里的蛀虫，许多事情都败在他们手里。,1,NO.53241  
65,时刻就象海绵里的水一样，只要你愿意挤，总还是有的。,1,NO.53240  
66,我是把别人喝咖啡的时间用来工作的。,1,NO.53239  
67,有地方特色，倒容易成为世界的，即为被别国所注意。,1,NO.53238  
68,无论如何，流言总不能吓哑我的。,1,NO.53237  
